tempo(ms),temperatura(C),umidade(%),pressao(Pa),co2(ppm),luminosidade(%),acelX(m/s2),accelY,acelZ,giroX(graus/s),giroY,giroZ,magX(uT),magY,magZ,bateria(%)
0,6.62,72.69,91597.68,478.00,92.00,0.31,-0.14,-9.90,-16.96,-6.19,-1.80,55.36,-5.66,-10.23,72
524,6.62,72.69,91604.65,478.00,93.00,0.30,-0.15,-9.89,-17.02,-6.22,-1.89,56.24,-4.42,-8.35,72
1044,6.62,72.69,91598.19,478.00,92.00,0.33,-0.15,-9.91,-16.90,-6.22,-1.80,55.53,-5.48,-9.03,72
1564,6.61,72.82,91600.27,834.00,93.00,0.31,-0.13,-9.92,-16.96,-6.25,-1.86,54.48,-4.07,-9.71,72
2090,6.61,72.82,91600.33,834.00,92.00,0.32,-0.16,-9.93,-16.96,-6.22,-1.80,54.30,-3.18,-9.89,73
2610,6.61,72.82,91601.98,778.00,92.00,0.31,-0.15,-9.91,-17.02,-6.19,-1.80,54.30,-4.95,-9.20,73
3127,6.61,72.82,91597.50,778.00,92.00,0.31,-0.14,-9.93,-16.96,-6.19,-1.89,55.36,-4.25,-9.54,73
3643,6.61,72.82,91601.01,778.00,92.00,0.31,-0.15,-9.96,-16.90,-6.16,-1.89,55.36,-4.95,-9.20,74
4157,6.61,72.93,91599.72,717.00,92.00,0.32,-0.15,-9.87,-16.93,-6.16,-1.83,55.71,-4.95,-8.86,74
4673,6.61,72.93,91601.34,717.00,93.00,0.31,-0.14,-9.93,-17.02,-6.25,-1.89,55.71,-4.95,-9.89,75
5192,6.61,72.93,91601.16,710.00,93.00,0.32,-0.14,-9.90,-16.99,-6.22,-1.86,55.36,-6.01,-9.54,75
5708,6.61,72.93,91600.66,710.00,92.00,0.31,-0.11,-9.90,-16.90,-6.25,-1.86,54.30,-4.60,-9.20,75
6224,6.61,73.04,91602.13,682.00,93.00,0.32,-0.14,-9.91,-16.96,-6.19,-1.80,55.36,-4.60,-8.86,76
6740,6.61,73.04,91604.30,682.00,92.00,0.31,-0.14,-9.94,-16.99,-6.22,-1.89,54.83,-5.13,-10.40,76
7255,6.61,73.04,91600.34,694.00,93.00,0.32,-0.12,-9.97,-16.96,-6.25,-1.83,55.00,-6.72,-8.18,77
7775,6.61,73.04,91603.78,694.00,93.00,0.30,-0.12,-9.94,-16.93,-6.22,-1.86,55.00,-3.89,-8.52,77
8292,6.61,73.04,91605.28,694.00,92.00,0.31,-0.14,-9.93,-16.96,-6.22,-1.86,55.89,-5.13,-9.37,77
8808,6.62,73.07,91604.85,674.00,93.00,0.29,-0.15,-9.92,-16.96,-6.28,-1.89,56.24,-5.48,-9.37,78
9325,6.62,73.07,91604.98,674.00,93.00,0.31,-0.15,-9.90,-17.02,-6.19,-1.83,54.83,-5.48,-9.71,78
9839,6.62,73.07,91606.45,653.00,94.00,0.31,-0.16,-9.91,-16.96,-6.19,-1.86,56.06,-5.66,-10.23,79
10360,6.62,73.07,91602.31,653.00,93.00,0.30,-0.14,-9.91,-16.93,-6.19,-1.80,55.00,-3.89,-9.20,79
10875,6.63,73.09,91599.50,666.00,94.00,0.32,-0.15,-9.89,-16.96,-6.19,-1.89,54.65,-4.60,-10.57,79
11391,6.63,73.09,91602.66,666.00,93.00,0.32,-0.14,-9.88,-16.99,-6.25,-1.80,55.71,-4.60,-9.54,79
11909,6.63,73.09,91603.00,666.00,93.00,0.30,-0.13,-9.93,-16.99,-6.22,-1.83,55.71,-4.60,-8.86,79
12426,6.63,73.09,91602.16,666.00,93.00,0.30,-0.15,-9.93,-16.93,-6.19,-1.77,54.30,-4.95,-9.54,79
12946,6.63,73.09,91606.31,666.00,93.00,0.30,-0.14,-9.94,-16.93,-6.22,-1.83,54.30,-3.54,-9.54,79
13462,6.62,73.14,91603.53,659.00,93.00,0.33,-0.16,-9.95,-17.05,-6.16,-1.80,56.24,-5.48,-9.37,79
13978,6.62,73.14,91603.32,659.00,93.00,0.31,-0.15,-9.91,-16.93,-6.22,-1.95,56.24,-3.71,-9.03,79
14492,6.62,73.14,91603.82,653.00,93.00,0.30,-0.14,-9.92,-16.96,-6.22,-1.80,56.41,-5.31,-8.52,79
15008,6.62,73.14,91604.48,653.00,93.00,0.32,-0.11,-9.85,-16.96,-6.25,-1.80,56.41,-3.89,-8.52,79
15522,6.62,73.12,91601.83,640.00,94.00,0.31,-0.17,-9.88,-16.90,-6.19,-1.80,55.18,-5.13,-9.71,79
16043,6.62,73.12,91602.33,640.00,93.00,0.31,-0.14,-9.89,-16.99,-6.22,-1.83,55.89,-5.84,-9.03,79
16559,6.62,73.12,91605.30,640.00,93.00,0.29,-0.12,-9.90,-16.90,-6.19,-1.83,55.00,-6.01,-8.52,79
17075,6.62,73.12,91604.31,640.00,93.00,0.32,-0.15,-9.90,-16.93,-6.22,-1.86,55.53,-4.78,-10.40,79
17591,6.62,73.12,91602.83,640.00,93.00,0.31,-0.15,-9.96,-16.93,-6.25,-1.77,56.41,-5.31,-8.86,79
18107,6.62,73.12,91603.06,640.00,93.00,0.34,-0.13,-9.96,-16.96,-6.19,-1.83,55.18,-5.84,-8.01,79
