tempo(ms),temperatura(C),umidade(%),pressao(Pa),co2(ppm),luminosidade(%),acelX(m/s2),accelY,acelZ,giroX(graus/s),giroY,giroZ,magX(uT),magY,magZ,bateria(%)
0,14.29,41.32,91054.99,432.00,86.00,-0.07,0.05,-9.85,-0.03,0.00,-0.02,35.96,18.75,-17.04,77
527,14.29,41.32,91051.20,432.00,87.00,-0.05,0.10,-9.83,-0.06,-0.03,0.01,36.32,17.69,-18.07,77
1047,14.30,41.42,91053.83,400.00,88.00,-0.06,0.10,-9.84,-0.03,-0.03,0.04,36.32,21.23,-17.38,77
1567,14.30,41.42,91053.87,400.00,88.00,-0.04,0.09,-9.83,0.03,0.03,0.01,35.61,19.81,-16.36,77
2094,14.30,41.42,91054.31,1494.00,90.00,-0.03,0.10,-9.85,-0.00,-0.06,0.01,35.61,21.23,-17.73,77
2613,14.30,41.42,91054.48,1494.00,91.00,-0.05,0.09,-9.77,-0.03,0.03,0.01,35.08,20.34,-17.56,78
3129,14.30,41.42,91053.10,1494.00,91.00,-0.06,0.09,-9.80,0.03,0.00,0.01,36.14,19.99,-16.87,78
3643,14.29,41.59,91052.53,1389.00,91.00,-0.05,0.08,-9.89,-0.00,0.00,-0.02,35.96,21.23,-17.38,78
4159,14.29,41.59,91054.53,1389.00,91.00,-0.06,0.10,-9.79,-0.00,0.00,0.04,36.67,19.10,-16.70,78
4673,14.29,41.59,91054.14,1341.00,91.00,-0.06,0.10,-9.85,-0.00,-0.06,0.04,37.20,20.70,-15.85,79
5193,14.29,41.59,91054.61,1341.00,91.00,-0.05,0.09,-9.87,-0.03,0.03,0.04,35.96,19.10,-16.70,79
5710,14.29,41.76,91050.29,1307.00,91.00,-0.06,0.09,-9.86,-0.06,0.00,-0.02,35.79,22.11,-16.19,79
6226,14.29,41.76,91053.05,1307.00,91.00,-0.05,0.09,-9.81,-0.00,-0.03,0.01,36.14,21.40,-16.53,79
6741,14.29,41.76,91056.96,1262.00,92.00,-0.07,0.10,-9.84,-0.00,-0.03,0.07,36.67,21.93,-16.36,79
7257,14.29,41.76,91058.80,1262.00,92.00,-0.06,0.09,-9.85,-0.00,0.03,0.04,35.61,21.23,-16.36,80
7777,14.29,41.76,91054.78,1262.00,91.00,-0.04,0.11,-9.82,-0.03,-0.06,0.01,37.02,19.81,-17.73,80
8291,14.29,41.76,91058.09,1248.00,92.00,-0.04,0.08,-9.86,0.03,0.00,-0.11,36.85,21.05,-16.87,80
8808,14.29,41.76,91052.86,1248.00,91.00,-0.05,0.11,-9.83,0.03,-0.03,0.04,36.32,20.87,-16.36,80
9322,14.29,41.76,91055.50,1198.00,92.00,-0.04,0.11,-9.87,-0.00,0.00,-0.05,37.55,20.34,-15.85,81
9838,14.29,41.76,91054.82,1198.00,91.00,-0.06,0.10,-9.82,-0.00,0.00,0.07,36.14,20.34,-16.53,81
10360,14.29,41.95,91052.47,1171.00,91.00,-0.04,0.09,-9.83,-0.00,0.03,0.04,35.96,20.87,-16.70,81
10876,14.29,41.95,91054.91,1171.00,92.00,-0.06,0.10,-9.83,-0.00,0.03,0.07,35.96,19.81,-16.36,82
11393,14.29,41.95,91055.67,1171.00,91.00,-0.06,0.09,-9.80,-0.03,0.00,0.01,35.08,22.46,-16.19,82
11908,14.29,41.95,91053.31,1171.00,92.00,-0.07,0.09,-9.82,0.03,0.00,0.04,35.96,20.52,-17.73,82
12423,14.29,41.95,91052.80,1171.00,91.00,-0.06,0.08,-9.83,-0.06,-0.03,-0.05,36.32,19.46,-16.70,82
12943,14.28,41.89,91052.43,1198.00,91.00,-0.04,0.08,-9.84,-0.00,0.06,-0.02,35.61,19.81,-16.36,82
13461,14.28,41.89,91053.36,1198.00,91.00,-0.06,0.10,-9.79,0.03,0.03,-0.02,36.49,20.34,-17.21,82
13975,14.28,41.89,91055.48,1171.00,91.00,-0.04,0.07,-9.82,0.03,-0.03,0.10,36.85,20.70,-17.21,82
